"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Et_2B_019263",351.842116907755,-1.20916386765196,0.184269584141331,-6.56192867252882,5.31162239565813e-11,3.22306724663991e-08
"Et_2A_016773",386.009985422573,-1.33243259491781,0.203414325886415,-6.55033803106781,5.74069897115192e-11,3.32803260902944e-08
"Et_5A_042301",95.5533043603185,-1.67899258414536,0.256528077250953,-6.5450636130674,5.94700662498153e-11,3.39560521018663e-08
"Et_9B_064610",849.146689636591,1.36531247504106,0.208658197684484,6.54329659793944,6.01773135075609e-11,3.39560521018663e-08
"Et_2A_017956",344.581339619921,2.39694319166924,0.370629740112996,6.46721763595785,9.98238313867463e-11,5.55861124248303e-08
"Et_2A_016108",20.3462157155263,-2.1900869339231,0.338789344771813,-6.46445045489315,1.01667600095641e-10,5.58775692993183e-08
"Et_3A_023533",251.011093016988,-1.04063494317776,0.161154935983903,-6.45735693309268,1.06547396887227e-10,5.78087927726598e-08
"Et_5A_040673",531.389561316519,-1.76805946572361,0.274004966438699,-6.45265481390156,1.09907510658161e-10,5.88770360892831e-08
"Et_9A_063204",85.6634203137903,-1.22621032307732,0.190247437588207,-6.44534475009051,1.15337937646049e-10,6.10137690147601e-08
"Et_8B_059382",176.039058837596,2.24121271603254,0.348160218958433,6.43730269568827,1.21615253746005e-10,6.31246574773843e-08
"Et_10A_000758",272.690645718071,1.49210527873222,0.233356985660631,6.39408875850915,1.61507597394086e-10,8.04117826084437e-08
"Et_7B_055352",110.643116026543,-1.22035843064623,0.191006365138021,-6.38909823640904,1.66866839971172e-10,8.2114007762558e-08
"Et_3A_025269",468.320625551892,1.17237550132799,0.183955071652617,6.37316215745286,1.85169915235106e-10,9.00734576178123e-08
"Et_1B_011373",38.1816063290066,-2.4352979603531,0.385032232784665,-6.32491971578669,2.53364277834225e-10,1.21845184522095e-07
"Et_7A_051394",119.823795435004,3.19903509180253,0.507686165219092,6.30120596337697,2.95338624479512e-10,1.40435175145763e-07
"Et_6B_048767",198.351306101391,-3.1048660783611,0.493023137262868,-6.2976072392839,3.0227523291886e-10,1.42136531745846e-07
"Et_3A_025775",321.547432079497,-1.1751072092675,0.186686729284784,-6.29454066590304,3.08311445698662e-10,1.43381762439202e-07
"Et_Un_067596",16.9346066312937,4.25919439640259,0.67710150485667,6.29033367353715,3.16784306159083e-10,1.44153890716692e-07
"Et_3A_025763",18.9126674543946,-2.02616065113568,0.322946645953223,-6.27397954592524,3.51934762041297e-10,1.58445522655188e-07
"Et_1B_013671",760.002333846416,-1.06127683604313,0.169559218875437,-6.25903352870935,3.87370590665007e-10,1.72563404178348e-07
"Et_9A_061473",67.0657304409803,-1.68217520328701,0.269299406762901,-6.24648685085313,4.19787341020851e-10,1.85056252833358e-07
"Et_1A_008223",199.413745266269,1.11115365675042,0.178144969351625,6.23735635530189,4.45027432544767e-10,1.92179193319332e-07
"Et_2A_016801",41.1269420032934,2.84558576056655,0.456677447525239,6.23106259349337,4.63281940260928e-10,1.98041330422651e-07
"Et_1B_011485",345.461313174512,-1.45996751825439,0.234713570082169,-6.22020924373179,4.96492313392875e-10,2.05995634341044e-07
"Et_7A_050900",97.4505017567271,3.28742532864799,0.528457950375993,6.22078885615972,4.94661472857675e-10,2.05995634341044e-07
"Et_3A_025492",410.389150246674,-1.23644876040108,0.198892015517901,-6.21668374761776,5.07771698698754e-10,2.08630080475061e-07
"Et_1B_010817",100.403172069941,-1.86401838093462,0.300315988342633,-6.20685695497485,5.40547578052711e-10,2.19961283684526e-07
"Et_7A_050364",82.8889400035895,-1.50340050821039,0.242405993580908,-6.20199396063446,5.57522179034682e-10,2.24707986826169e-07
"Et_3A_026274",407.552581471605,-1.42905200308076,0.230531957890802,-6.19893231357392,5.68474710114384e-10,2.26960846528686e-07
"Et_10A_000884",12.5813102336783,3.42813204154797,0.553635937699267,6.19203308187359,5.93930819172285e-10,2.31815904534144e-07
"Et_3B_029647",485.570471695271,1.26250233409887,0.203918750370139,6.19120277957407,5.97068374154576e-10,2.31815904534144e-07
"Et_6B_049146",89.2242551587774,-2.75893421932948,0.446628652972169,-6.17724411761241,6.52301741276835e-10,2.50958269916688e-07
"Et_4A_035738",83.3381128049535,-1.29950056164231,0.210707675074765,-6.167314793736,6.94593930623318e-10,2.64821758053863e-07
"Et_4A_034751",393.036644475658,2.15382047769582,0.34939779396427,6.16437915436889,7.07602113282619e-10,2.67372512804647e-07
"Et_4B_036955",412.769903598059,1.01380340589077,0.164754157110334,6.15343141364156,7.58241763512161e-10,2.83971605591457e-07
"Et_8A_057796",118.358229833289,-1.24223875057557,0.202192881960494,-6.14383027993184,8.05549147263891e-10,2.99042455370244e-07
"Et_7A_051173",20.292737717426,-1.93991757442943,0.316581474055318,-6.12770403011787,8.91562334651105e-10,3.25266534503748e-07
"Et_2B_021515",202.450609848385,1.13336367738961,0.185531140277148,6.10875174753187,1.00413374760655e-09,3.60126611853469e-07
"Et_5B_044007",164.019178872237,-1.3261321918147,0.217043876376778,-6.10997284951085,9.96480909247915e-10,3.60126611853469e-07
"Et_5B_044388",225.297571216683,-1.46073970615308,0.23980975992214,-6.09124377017577,1.12036795757432e-09,3.9843673919786e-07
"Et_4A_034968",194.811467757214,-1.42707542982914,0.234387933575278,-6.0885191829673,1.13959801181658e-09,4.01898232167313e-07
"Et_4A_031903",48.369062795223,-1.50211879845406,0.246911061414705,-6.08364319462846,1.17481895521767e-09,4.10895356899272e-07
"Et_2B_019258",133.405407524676,-1.43041417936806,0.235271423271777,-6.0798466701827,1.2029752632084e-09,4.11728440070264e-07
"Et_7B_054389",80.1035955247359,-1.19107442704343,0.196239049514436,-6.06950772535113,1.28302920415454e-09,4.3438236735856e-07
